Reading Ease
43.02
65.15
43.02
61.56
46.61
59.64
54.52
84.57
35.98
69.01
71.34
51.18
56.29
43.93
82.65
45.35
75.3
60.55
55.13
63.59
27.83
12.12
18.05
19.06
27.52
32.02
22.24
24.07
27.11
35.98
36.79
46.2
85.32
91.61
39.06
62.61
28.33
59.23
42.21
59.84
58.11
42.41
55.88
94.15
60.95
59.33
50.06
52.53
56.69
52.09
51.89
54.63
58.72
70.84
94.45
38.55
59.13
48.2
47.42
82.34
51.59
69.72
59.64
89.99
65.22
59.23
60.32
56.49
64.91
86.84
71.78
60.45
81.26
91.71
82.65
64.61
72.87
74.69
59.03
71.65
79.6
65.32
67.38
0.43
71.75
80.35
70.84
83.59
69.92
49.62
38.12
61.77
75.34
66.88
72.97
84.17
68.1
66.07
80.51
64.81
