Reading Ease
25.9
51.99
20.99
35.57
31.72
56.76
48.4
46.06
28.94
46.37
47.18
43.12
31.62
26.0
48.4
35.98
78.35
53.92
30.57
39.87
19.26
21.4
19.87
17.74
19.26
24.68
25.29
25.39
41.8
27.42
