Readability
9.96
9.58
10.14
9.99
10.57
9.57
10.2
10.24
10.38
9.5
10.7
11.99
10.18
10.46
9.72
10.4
7.75
9.66
10.32
10.19
11.49
11.96
11.25
11.34
11.07
11.16
10.51
11.12
10.45
11.14
